observation_date,NJUCSFRCONDOSMSAMID_20220120,NJUCSFRCONDOSMSAMID_20220217,NJUCSFRCONDOSMSAMID_20220317,NJUCSFRCONDOSMSAMID_20220421,NJUCSFRCONDOSMSAMID_20220519,NJUCSFRCONDOSMSAMID_20220616,NJUCSFRCONDOSMSAMID_20220721,NJUCSFRCONDOSMSAMID_20220818,NJUCSFRCONDOSMSAMID_20220915,NJUCSFRCONDOSMSAMID_20221020,NJUCSFRCONDOSMSAMID_20221117,NJUCSFRCONDOSMSAMID_20221215,NJUCSFRCONDOSMSAMID_20230119,NJUCSFRCONDOSMSAMID_20230216,NJUCSFRCONDOSMSAMID_20230316,NJUCSFRCONDOSMSAMID_20230420,NJUCSFRCONDOSMSAMID_20230518,NJUCSFRCONDOSMSAMID_20230615,NJUCSFRCONDOSMSAMID_20230720,NJUCSFRCONDOSMSAMID_20230817,NJUCSFRCONDOSMSAMID_20230921,NJUCSFRCONDOSMSAMID_20231019,NJUCSFRCONDOSMSAMID_20231116,NJUCSFRCONDOSMSAMID_20231221,NJUCSFRCONDOSMSAMID_20240118,NJUCSFRCONDOSMSAMID_20240215,NJUCSFRCONDOSMSAMID_20240321,NJUCSFRCONDOSMSAMID_20240418,NJUCSFRCONDOSMSAMID_20240516,NJUCSFRCONDOSMSAMID_20240620,NJUCSFRCONDOSMSAMID_20240718,NJUCSFRCONDOSMSAMID_20240815,NJUCSFRCONDOSMSAMID_20240919,NJUCSFRCONDOSMSAMID_20241017
2019-03-01,335453,335578,335903,336881,338592,338965,338792,338114,336900,335993,335224,334439,333939,327537.95919264500,317484.92813172200,322608.35863520900,324590.17292196200,329957.66936900100,338689.16828058300,338075.74604883900,342703.83612559100,342272.33857542800,340994.27709038900,338787.86054433100,336838.21290290100,336506.78077641100,338272.74880475800,341322.74749629500,344034.31445631200,344420.77055793300,347237.07390531200,347455.82981816300,343850.86574262900,341997.88211742800
2019-04-01,336364,336489,336815,337796,339512,339886,339712,339032,337815,336905,336135,335347,334845,329497.58078314200,319384.40360429800,324538.48699778000,326532.15824936800,331931.76780461200,340715.50626066300,340098.41399491000,344660.74902556000,344226.78753121800,342941.42803914300,340722.41237820400,338761.63182777900,338428.30715228400,340204.35923937600,343271.77408198900,345998.82467482300,346387.48752422700,349219.87257180700,349439.87762815400,345814.32842937400,343950.76386758200
2019-05-01,337368,337493,337820,338804,340525,340900,340725,340044,338823,337911,337138,336348,335845,331027.69971086200,320867.55901931600,326045.57691494600,328048.50636536700,333473.19059570600,342297.71892473900,341677.76100955100,346157.45720048700,345721.61120459400,344430.66996854400,342202.01811059200,340232.72276326200,339897.95060711300,341681.71529764300,344762.45055717000,347501.34351652500,347891.69415563400,350736.37899037400,350957.33943072500,347316.04608602800,345444.38889308500
2019-06-01,337958,338084,338412,339397,341121,341497,341322,340639,339416,338502,337728,336937,336433,332151.88548307200,321957.24047173800,327152.84316178900,329162.57465564200,334605.68137097500,343460.17821684900,342838.11489517100,347238.66306854500,346801.45572902500,345506.48230123500,343270.86935833000,341295.42301340800,340959.60521282100,342748.94140502000,345839.29919028300,348586.74694768800,348978.31682790500,351831.88689643700,352053.53749590400,348400.87074974000,346523.36752720000
2019-07-01,338457,338583,338911,339898,341625,342001,341826,341142,339917,339002,338227,337434,336929,332755.07598088300,322541.91741214400,327746.95535850300,329760.33654092800,335213.32798187200,344083.90466529600,343460.71167161800,347771.77650654500,347333.89792521700,346036.93633248500,343797.89106643000,341819.41183057600,341483.07845093300,343275.16180026200,346370.26419330900,349121.93009078700,349514.10114589300,352372.05228344700,352594.04318175100,348935.76851822600,347055.38277624300
2019-08-01,338365,338492,338820,339806,341532,341909,341733,341050,339825,338910,338135,337342,336838,333282.15654415500,323052.82043896300,328266.10311104000,330282.67346821900,335744.30239062500,344628.92997482400,344004.74984995600,348220.13291013400,347781.68980437000,346483.05613507900,344241.12423373400,342260.09429108200,341923.32730171300,343717.72105142500,346816.81373083500,349572.02714743100,349964.70379964400,352826.33948200600,353048.61657673900,349385.62557053800,347502.81558643500
2019-09-01,338150,338276,338604,339589,341314,341691,341515,340832,339608,338694,337919,337127,336623,333589.67195211700,323350.89736243500,328568.99026727200,330587.42128948800,336054.08959073000,344946.91491315900,344322.15886485200,348440.72495074100,348002.00409808600,346702.54776455500,344459.19563420500,342476.91073988200,342139.93041386100,343935.46088411600,347036.51679056000,349793.47559202000,350186.40099878800,353049.84948286700,353272.26738668400,349606.95593262700,347722.95321766900
2019-10-01,338026,338152,338480,339465,341189,341566,341390,340708,339484,338570,337796,337004,336500,334301.51707802300,324040.89402479600,329270.12178875200,331292.85992958100,336771.19352358400,345682.99519598200,345056.90598425500,349079.68056218800,348640.15520210700,347338.31598145500,345090.85008847700,343104.93016539300,342767.33189934700,344566.15493613500,347672.89742549100,350434.91181939800,350828.55775587300,353697.25710859600,353920.08287279600,350248.05012827700,348360.59261019100
2019-11-01,338184,338310,338638,339624,341349,341725,341550,340867,339643,338728,337954,337162,336658,335624.30955273800,325323.08639969800,330573.00561368200,332603.74749560800,338103.75822262300,347050.82286448500,346422.25629009200,350343.42659898100,349902.31005940000,348595.75789139700,346340.15567232100,344347.04627768700,344008.22583087600,345813.56100689900,348931.55059463100,351703.56409458200,352098.63511684600,354977.71979887800,355201.35224187500,351516.02592260300,349621.73538876000
2019-12-01,339088,339215,339544,340532,342262,342639,342463,341778,340551,339634,338857,338063,337558,337345.92293870200,326991.85878706000,332268.70790730100,334309.86665209400,339838.09015101300,348831.04952044400,348199.25866045000,352007.08204023400,351563.87079621200,350251.11427996500,347984.80101389900,345982.22705667400,345641.79767292600,347455.70573903500,350588.50154246800,353373.67834160500,353770.62541464100,356663.38183855100,356888.07623191500,353185.24961802400,351281.96377696200
